Region,Totalt_antal_fall,Fall_per_100000_inv,Totalt_antal_intensivvårdade,Totalt_antal_avlidna
10,6577,4120.7724609375,28,66
20,12357,4291.1318359375,93,278
9,2503,4193.61328125,23,37
21,17268,6008.72705078125,141,436
13,16477,4935.4794921875,86,172
23,5327,4072.31860351563,43,99
6,20194,5553.9208984375,197,398
8,8651,3524.60424804688,55,154
7,10784,5352.6845703125,66,237
25,9010,3602.65991210938,100,155
12,87617,6359.0712890625,365,986
1,130531,5491.23046875,1442,3472
4,10771,3620.017578125,210,353
3,20218,5269.0419921875,233,417
17,7094,2511.9150390625,58,140
24,9522,3504.13647460938,65,101
22,11952,4871.4677734375,99,298
19,15728,5701.7529296875,85,285
14,88409,5122.54296875,810,1570
18,15142,4967.76611328125,127,239
5,17354,3728.07446289063,192,430
